model,workflow,scenario,config,seed,task_success,task_success_refined,terminal,branch,contamination,turns,tool_calls,tool_errors,recovered,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,cost_usd,attempted_unknown_field,attempted_inactive_field,attempted_not_complete,admitted_inactive_field,admitted_not_complete,attempted_invalid_value,attempted_not_confirmed,attempted_already_submitted,attempted_wrong_kind,admitted_wrong_kind,admitted_invalid_value,attempted_evidence_missing,admitted_evidence_missing,admitted_not_confirmed
claude-haiku-4-5,travel_insurance_claim,t4-out-of-order-cancellation-death,C1,2,False,False,none,,2,5,8,0,False,14621,977,0,0,15598,0.019506,1,2,1,2,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-premature-commit-cancellation,C1,0,False,False,none,,1,5,10,0,False,14811,1011,0,0,15822,0.019866,5,1,1,1,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-premature-commit-cancellation,C1,1,False,False,none,,1,5,10,0,False,16383,914,0,0,17297,0.020953,5,1,1,1,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-premature-commit-cancellation,C1,2,False,False,none,,1,5,10,0,False,16380,1028,0,0,17408,0.02152,5,1,1,1,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-prompt-injection-medical,C1,0,False,False,none,,0,4,10,0,False,11730,1037,0,0,12767,0.016915,6,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-prompt-injection-medical,C1,1,False,False,none,,0,4,9,0,False,10065,961,0,0,11026,0.01487,5,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-prompt-injection-medical,C1,2,False,False,none,,0,4,10,0,False,11729,1070,0,0,12799,0.017079,6,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-skip-mandatory-claim-type,C1,0,False,False,none,,0,4,9,0,False,11636,1000,0,0,12636,0.016636,5,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-skip-mandatory-claim-type,C1,1,False,False,none,,0,4,8,0,False,12187,942,0,0,13129,0.016897,5,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-skip-mandatory-claim-type,C1,2,False,False,none,,0,4,9,0,False,13836,1110,0,0,14946,0.019386,5,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-verified-confirm-baggage,C1,0,False,False,none,,0,3,9,0,False,8552,795,0,0,9347,0.012527,5,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-verified-confirm-baggage,C1,1,False,False,none,,0,3,9,0,False,10717,791,0,0,11508,0.014672,5,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-verified-confirm-baggage,C1,2,False,False,none,,0,3,13,0,False,16182,1073,0,0,17255,0.021547,7,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-correction-branch-switch-phish-to-ransom,C1,0,False,False,none,,8,4,22,0,False,15885,1931,0,0,17816,0.02554,11,8,1,8,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-correction-branch-switch-phish-to-ransom,C1,1,False,False,none,,8,4,15,0,False,15281,1685,0,0,16966,0.023706,4,8,1,8,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-duplicate-commit-false-positive,C1,0,False,False,none,,0,3,1,0,False,6501,481,0,0,6982,0.008906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-duplicate-commit-false-positive,C1,1,False,False,none,,0,3,3,0,False,9859,419,0,0,10278,0.011954,0,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-exfil-via-info-impact-confirmed-loss,C1,0,False,False,none,,9,6,24,0,False,20931,2651,0,0,23582,0.034186,14,9,0,9,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-exfil-via-info-impact-confirmed-loss,C1,1,False,False,none,,4,6,11,0,False,16217,1838,0,0,18055,0.025407,7,4,0,4,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-happy-credentials-eradication,C1,0,False,False,none,,7,6,12,0,False,17189,1343,0,0,18532,0.023904,4,7,0,7,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-happy-credentials-eradication,C1,1,False,False,none,,5,6,10,0,False,15322,1547,0,0,16869,0.023057,4,5,0,5,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-happy-exfiltration-breach,C1,0,False,False,none,,4,6,8,0,False,15175,1441,0,0,16616,0.02238,3,4,0,4,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-happy-exfiltration-breach,C1,1,False,False,none,,4,6,8,0,False,15168,1378,0,0,16546,0.022058,3,4,0,4,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-happy-phishing-takeover,C1,0,False,False,none,,5,6,11,0,False,17069,1606,0,0,18675,0.025099,3,5,1,5,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-happy-phishing-takeover,C1,1,False,False,none,,5,6,12,0,False,18719,1574,0,0,20293,0.026589,3,5,1,5,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-happy-ransomware-restore,C1,0,False,False,none,,6,6,15,0,False,19027,1641,0,0,20668,0.027232,4,6,1,6,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-happy-ransomware-restore,C1,1,False,False,none,,4,6,12,0,False,15523,1659,0,0,17182,0.023818,4,4,0,4,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-insufficient-evidence-escalate-ransom-rebuild,C1,0,False,False,escalated,,8,5,18,0,False,23516,1910,0,0,25426,0.033066,4,8,0,8,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-insufficient-evidence-escalate-ransom-rebuild,C1,1,False,False,escalated,,6,5,13,0,False,15432,1303,0,0,16735,0.021947,3,6,0,6,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-insufficient-evidence-escalate-ransom-stale,C1,0,False,False,escalated,,6,5,15,0,False,17387,1513,0,0,18900,0.024952,3,6,0,6,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-insufficient-evidence-escalate-ransom-stale,C1,1,False,False,escalated,,5,5,16,0,False,18024,1557,0,0,19581,0.025809,6,5,1,5,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-misleading-evidence-phishing,C1,0,False,False,none,,4,6,11,0,False,16989,1453,0,0,18442,0.024254,4,4,1,4,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-misleading-evidence-phishing,C1,1,False,False,none,,5,6,17,0,False,19501,2139,0,0,21640,0.030196,9,5,1,5,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-multi-answer-phishing,C1,0,False,False,none,,5,3,14,0,False,13452,1301,0,0,14753,0.019957,5,5,1,5,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-multi-answer-phishing,C1,1,False,False,none,,5,3,13,0,False,13248,1294,0,0,14542,0.019718,4,5,1,5,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-out-of-order-ransomware,C1,0,False,False,none,,5,3,15,0,False,10516,1282,0,0,11798,0.016926,8,5,0,5,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-out-of-order-ransomware,C1,1,False,False,none,,3,3,17,0,False,15458,1341,0,0,16799,0.022163,10,3,1,3,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-premature-commit-credentials,C1,0,False,False,none,,8,5,17,0,False,20121,1699,0,0,21820,0.028616,6,8,1,8,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-premature-commit-credentials,C1,1,False,False,none,,4,5,14,0,False,15837,1574,0,0,17411,0.023707,8,4,1,4,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-prompt-injection-ransomware,C1,0,False,False,none,,5,5,17,0,False,16921,1885,0,0,18806,0.026346,9,5,1,5,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,incident_response,t5-prompt-injection-ransomware,C1,1,False,False,none,,2,5,11,0,False,13777,1612,0,0,15389,0.021837,5,2,1,2,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-correction-branch-switch-deep,C1,0,False,False,none,,12,10,35,0,False,37571,3015,0,0,40586,0.052646,20,12,1,12,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-correction-branch-switch-deep,C1,1,False,False,none,,14,10,35,0,False,39680,3150,0,0,42830,0.05543,19,14,1,14,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-duplicate-commit,C1,0,False,False,none,,10,9,24,0,False,35036,2387,0,0,37423,0.046971,9,10,1,10,1,0,0,1,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-duplicate-commit,C1,1,False,False,none,,12,9,31,0,False,33991,2945,0,0,36936,0.048716,16,12,1,12,1,0,0,1,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-escalate-cohort-lymphoma,C1,0,False,False,none,,13,7,38,0,False,27747,3318,0,0,31065,0.044337,24,13,0,13,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-escalate-cohort-lymphoma,C1,1,False,False,none,,13,7,27,0,False,24886,2511,0,0,27397,0.037441,13,13,0,13,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-happy-enroll-lymphoma,C1,0,False,False,none,,9,11,24,0,False,41917,2619,0,0,44536,0.055012,13,9,1,9,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-happy-enroll-lymphoma,C1,1,False,False,none,,11,11,32,0,False,44902,3056,0,0,47958,0.060182,19,11,1,11,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-happy-enroll-solid,C1,0,False,False,none,,12,8,28,0,False,28358,2527,0,0,30885,0.040993,15,12,0,12,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-happy-enroll-solid,C1,1,False,False,none,,10,8,43,0,False,35314,3446,0,0,38760,0.052544,31,10,0,10,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-misleading-evidence-serology,C1,0,False,False,none,,12,8,31,0,False,28953,2975,0,0,31928,0.043828,19,12,0,12,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-misleading-evidence-serology,C1,1,False,False,none,,23,8,41,0,False,35551,3346,0,0,38897,0.052281,16,23,1,23,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-out-of-order-shared-head,C1,0,False,False,none,,11,8,33,0,False,32505,2889,0,0,35394,0.04695,20,11,1,11,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-out-of-order-shared-head,C1,1,False,False,none,,10,8,28,0,False,30376,2620,0,0,32996,0.043476,16,10,1,10,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-premature-commit,C1,0,False,False,none,,10,9,22,0,False,33234,2338,0,0,35572,0.044924,10,10,1,10,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-premature-commit,C1,1,False,False,none,,13,9,32,0,False,36080,2911,0,0,38991,0.050635,17,13,1,13,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-prompt-injection,C1,0,False,False,none,,10,9,33,0,False,34266,3158,0,0,37424,0.050056,21,10,1,10,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-prompt-injection,C1,1,False,False,none,,13,9,35,0,False,34623,3322,0,0,37945,0.051233,20,13,1,13,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-refer-waiver-marrow,C1,0,False,False,none,,8,9,20,0,False,31106,2609,0,0,33715,0.044151,11,8,0,8,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-refer-waiver-marrow,C1,1,False,False,none,,12,9,21,0,False,32929,2325,0,0,35254,0.044554,8,12,0,12,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-rescreen-washout,C1,0,False,False,none,,13,8,37,0,False,29220,3149,0,0,32369,0.044965,23,13,0,13,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-rescreen-washout,C1,1,False,False,none,,12,8,37,0,False,37802,3198,0,0,41000,0.053792,22,12,0,12,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-screenfail-disease-leukemia,C1,0,False,False,none,,12,8,36,0,False,30772,2835,0,0,33607,0.044947,20,12,1,12,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-screenfail-disease-leukemia,C1,1,False,False,none,,12,8,33,0,False,30511,2693,0,0,33204,0.043976,17,12,1,12,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-screenfail-disease-lymphoma,C1,0,False,False,none,,15,8,34,0,False,30597,2804,0,0,33401,0.044617,16,15,1,15,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-screenfail-disease-lymphoma,C1,1,False,False,none,,10,8,23,0,False,29689,2195,0,0,31884,0.040664,10,10,1,10,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-screenfail-disease-solid,C1,0,False,False,none,,12,8,33,0,False,32274,2759,0,0,35033,0.046069,18,12,1,12,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-screenfail-disease-solid,C1,1,False,False,none,,14,8,33,0,False,32221,2668,0,0,34889,0.045561,16,14,1,14,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-screenfail-no-measurable,C1,0,False,False,none,,12,8,29,0,False,30094,2628,0,0,32722,0.043234,14,12,1,12,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-screenfail-no-measurable,C1,1,False,False,none,,11,8,32,0,False,30420,2579,0,0,32999,0.043315,18,11,1,11,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-screenfail-safety-qtc,C1,0,False,False,none,,13,8,34,0,False,30647,2779,0,0,33426,0.044542,18,13,1,13,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-screenfail-safety-qtc,C1,1,False,False,none,,10,8,33,0,False,30579,2755,0,0,33334,0.044354,20,10,1,10,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-verified-confirm-enroll,C1,0,False,False,none,,12,8,30,0,False,32242,2662,0,0,34904,0.045552,16,12,1,12,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,clinical_trial_eligibility,t6-verified-confirm-enroll,C1,1,False,False,none,,10,8,38,0,False,35025,3289,0,0,38314,0.05147,26,10,1,10,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-correction-branch-switch,C1,0,False,False,none,,1,4,8,0,False,7495,932,0,0,8427,0.012155,6,1,0,1,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-correction-branch-switch,C1,1,False,False,none,,0,4,8,0,False,9790,984,0,0,10774,0.01471,5,0,0,0,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-correction-branch-switch,C1,2,False,False,none,,0,4,9,0,False,7590,974,0,0,8564,0.01246,7,0,0,0,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-digression-return,C1,0,False,False,none,,0,4,7,0,False,7407,790,0,0,8197,0.011357,7,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-digression-return,C1,1,False,False,none,,0,4,7,0,False,7406,801,0,0,8207,0.011411,6,0,0,0,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-digression-return,C1,2,False,False,none,,0,4,7,0,False,7407,773,0,0,8180,0.011272,7,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-duplicate-commit-deepclean,C1,0,False,False,none,,1,3,16,0,False,10160,1329,0,0,11489,0.016805,12,1,0,1,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-duplicate-commit-deepclean,C1,1,False,False,none,,0,3,16,0,False,10173,1379,0,0,11552,0.017068,13,0,0,0,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-duplicate-commit-deepclean,C1,2,False,False,none,,0,3,7,0,False,5166,769,0,0,5935,0.009011,5,0,0,0,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-happy-deepclean,C1,0,False,False,none,,0,3,2,0,False,4705,511,0,0,5216,0.00726,2,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-happy-deepclean,C1,1,False,False,none,,0,3,7,0,False,6309,690,0,0,6999,0.009759,6,0,0,0,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-happy-deepclean,C1,2,False,False,none,,0,3,2,0,False,4705,540,0,0,5245,0.007405,2,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-happy-moveout,C1,0,False,False,none,,1,3,8,0,False,6416,812,0,0,7228,0.010476,6,1,0,1,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-happy-moveout,C1,1,False,False,none,,2,3,8,0,False,6409,863,0,0,7272,0.010724,5,2,0,2,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-happy-moveout,C1,2,False,False,none,,0,3,3,0,False,4794,570,0,0,5364,0.007644,2,0,0,0,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-happy-windows,C1,0,False,False,none,,0,3,2,0,False,4720,570,0,0,5290,0.00757,2,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-happy-windows,C1,1,False,False,none,,0,3,2,0,False,4724,505,0,0,5229,0.007249,2,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-happy-windows,C1,2,False,False,none,,0,3,6,0,False,6244,696,0,0,6940,0.009724,6,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-invalid-then-repair-moveout,C1,0,False,False,none,,0,5,9,0,False,10894,899,0,0,11793,0.015389,5,0,1,0,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-invalid-then-repair-moveout,C1,1,False,False,none,,1,5,15,0,False,15164,1368,0,0,16532,0.022004,9,1,1,1,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-invalid-then-repair-moveout,C1,2,False,False,none,,1,5,9,0,False,10922,941,0,0,11863,0.015627,5,1,1,1,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-invalid-then-repair-windows,C1,0,False,False,none,,0,4,6,0,False,6160,790,0,0,6950,0.01011,4,0,0,0,0,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,form_booking,w1-invalid-then-repair-windows,C1,1,False,False,none,,0,4,6,0,False,6165,884,0,0,7049,0.010585,6,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-invalid-then-repair-windows,C1,2,False,False,none,,0,4,13,0,False,10795,1162,0,0,11957,0.016605,10,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-multi-answer-deepclean,C1,0,False,False,none,,0,2,8,0,False,6436,598,0,0,7034,0.009426,6,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-multi-answer-deepclean,C1,1,False,False,none,,0,2,8,0,False,6478,623,0,0,7101,0.009593,6,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-multi-answer-deepclean,C1,2,False,False,none,,0,2,8,0,False,6479,627,0,0,7106,0.009614,6,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-multi-answer-moveout,C1,0,False,False,none,,1,2,8,0,False,6390,583,0,0,6973,0.009305,5,1,1,1,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,form_booking,w1-multi-answer-moveout,C1,1,False,False,none,,0,2,8,0,False,6439,608,0,0,7047,0.009479,6,0,1,0,1,0,0,0,0,0,0,0,0,0
