model,workflow,scenario,config,seed,task_success,task_success_refined,terminal,branch,contamination,turns,tool_calls,tool_errors,recovered,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,cost_usd,attempted_unknown_field,attempted_inactive_field,attempted_not_complete,admitted_inactive_field,admitted_not_complete,attempted_wrong_kind,attempted_invalid_value,attempted_already_submitted,admitted_wrong_kind,attempted_not_confirmed,admitted_invalid_value,attempted_evidence_missing,admitted_evidence_missing
gemini-3.1-flash-lite,travel_insurance_claim,t4-premature-commit-cancellation,C1,0,False,False,none,,1,5,15,0,False,13193,583,0,0,13776,0.0015525000000000003,7,1,1,1,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-premature-commit-cancellation,C1,1,False,False,none,,2,5,42,1,False,51692,1229,0,0,52921,0.005660800000000001,30,2,1,2,1,0,3,0,0,0,3,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-premature-commit-cancellation,C1,2,False,False,none,,3,5,62,1,False,81464,1957,0,0,83421,0.0089292,45,3,1,3,1,0,5,0,0,0,5,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-prompt-injection-medical,C1,0,False,False,none,,0,4,17,0,False,13942,628,0,0,14570,0.0016454,9,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-prompt-injection-medical,C1,1,False,False,none,,0,4,13,0,False,9659,489,0,0,10148,0.0011615,5,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-prompt-injection-medical,C1,2,False,False,none,,0,4,22,0,False,22832,910,0,0,23742,0.0026472,14,0,1,0,1,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-skip-mandatory-claim-type,C1,0,False,False,none,,0,4,14,0,False,10439,488,0,0,10927,0.0012391000000000001,8,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-skip-mandatory-claim-type,C1,1,False,False,none,,2,4,34,0,False,39689,1167,0,0,40856,0.0044357,25,2,1,2,1,0,3,0,0,0,3,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-skip-mandatory-claim-type,C1,2,False,False,none,,0,4,19,0,False,17472,667,0,0,18139,0.002014,10,0,1,0,1,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-verified-confirm-baggage,C1,0,False,False,none,,0,3,17,0,False,13167,572,0,0,13739,0.0015455,10,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-verified-confirm-baggage,C1,1,False,False,none,,0,3,39,0,False,48285,1172,0,0,49457,0.0052973000000000004,28,0,1,0,1,0,3,0,0,0,3,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-verified-confirm-baggage,C1,2,False,False,none,,1,3,44,1,False,58756,1230,0,0,59986,0.0063676,28,1,1,1,1,0,7,0,0,0,7,0,0
gemini-3.1-flash-lite,incident_response,t5-correction-branch-switch-phish-to-ransom,C1,0,False,False,none,,13,4,33,0,False,33749,723,0,0,34472,0.0036641,5,13,1,13,1,0,0,9,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-correction-branch-switch-phish-to-ransom,C1,1,False,False,none,,12,4,26,0,False,20499,801,0,0,21300,0.0023703,8,12,1,12,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-duplicate-commit-false-positive,C1,0,False,False,escalated,,0,3,8,0,False,9920,226,0,0,10146,0.0010824,4,0,1,0,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-duplicate-commit-false-positive,C1,1,False,False,escalated,,0,3,7,0,False,9691,202,0,0,9893,0.0010499,3,0,1,0,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-exfil-via-info-impact-confirmed-loss,C1,0,False,False,none,,18,6,34,0,False,35202,1050,0,0,36252,0.0039402000000000005,14,18,1,18,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-exfil-via-info-impact-confirmed-loss,C1,1,False,False,none,,10,6,26,0,False,28362,1013,0,0,29375,0.0032414000000000006,14,10,1,10,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-happy-credentials-eradication,C1,0,False,False,none,,15,6,64,1,False,86901,1809,0,0,88710,0.0094137,47,15,1,15,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-happy-credentials-eradication,C1,1,False,False,none,,11,6,43,1,False,55262,1385,0,0,56647,0.006080200000000001,30,11,1,11,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-happy-exfiltration-breach,C1,0,False,False,none,,9,6,23,0,False,24196,888,0,0,25084,0.0027748,11,9,1,9,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-happy-exfiltration-breach,C1,1,False,False,none,,10,6,34,0,False,38769,1248,0,0,40017,0.0043761,21,10,1,10,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-happy-phishing-takeover,C1,0,False,False,none,,17,6,30,0,False,33382,922,0,0,34304,0.0037070000000000007,8,17,1,17,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-happy-phishing-takeover,C1,1,False,False,escalated,,17,6,30,0,False,35274,838,0,0,36112,0.0038626000000000003,7,17,1,17,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-happy-ransomware-restore,C1,0,False,False,none,,12,6,69,2,False,94447,1938,0,0,96385,0.010219900000000002,52,12,1,12,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-happy-ransomware-restore,C1,1,False,False,none,,14,6,58,1,False,64974,1750,0,0,66724,0.0071974000000000005,39,14,1,14,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-insufficient-evidence-escalate-ransom-rebuild,C1,0,False,False,escalated,,7,5,23,0,False,24966,732,0,0,25698,0.0027894000000000005,10,7,0,7,0,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-insufficient-evidence-escalate-ransom-rebuild,C1,1,False,False,escalated,,14,5,33,0,False,36741,862,0,0,37603,0.004018900000000001,12,14,0,14,0,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-insufficient-evidence-escalate-ransom-stale,C1,0,False,False,escalated,,10,5,23,0,False,22636,630,0,0,23266,0.0025155999999999998,8,10,0,10,0,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-insufficient-evidence-escalate-ransom-stale,C1,1,False,False,escalated,,11,5,34,0,False,38212,964,0,0,39176,0.0042068,17,11,0,11,0,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-misleading-evidence-phishing,C1,0,False,False,none,,15,6,41,0,False,47086,1207,0,0,48293,0.0051914000000000005,20,15,1,15,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-misleading-evidence-phishing,C1,1,False,False,none,,20,6,43,0,False,46310,1198,0,0,47508,0.0051102,16,20,1,20,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-multi-answer-phishing,C1,0,False,False,none,,7,3,30,0,False,39652,961,0,0,40613,0.0043496,19,7,1,7,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-multi-answer-phishing,C1,1,False,False,none,,23,3,39,1,False,55145,1152,0,0,56297,0.0059753,13,23,1,23,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-out-of-order-ransomware,C1,0,False,False,none,,6,3,21,0,False,11701,640,0,0,12341,0.0014261000000000002,11,6,1,6,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-out-of-order-ransomware,C1,1,False,False,none,,5,3,18,0,False,13747,578,0,0,14325,0.0016059000000000002,9,5,1,5,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-premature-commit-credentials,C1,0,False,False,none,,3,5,13,0,False,10637,413,0,0,11050,0.0012289,5,3,1,3,1,0,0,2,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-premature-commit-credentials,C1,1,False,False,none,,5,5,20,0,False,28032,584,0,0,28616,0.0030368,9,5,1,5,1,0,0,2,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-prompt-injection-ransomware,C1,0,False,False,none,,7,5,23,0,False,20566,829,0,0,21395,0.0023881999999999996,11,7,1,7,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,incident_response,t5-prompt-injection-ransomware,C1,1,False,False,none,,4,5,16,0,False,10036,649,0,0,10685,0.0012632000000000001,7,4,1,4,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-correction-branch-switch-deep,C1,0,False,False,none,,53,10,85,6,False,105898,2331,0,0,108229,0.011522200000000002,24,53,1,53,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-correction-branch-switch-deep,C1,1,False,False,none,,49,10,73,1,False,91357,1899,0,0,93256,0.009895300000000001,22,49,1,49,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-duplicate-commit,C1,0,False,False,none,,23,9,68,1,False,74916,2292,0,0,77208,0.0084084,43,23,1,23,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-duplicate-commit,C1,1,False,False,none,,35,9,81,2,False,110002,2255,0,0,112257,0.0119022,44,35,1,35,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-escalate-cohort-lymphoma,C1,0,False,False,none,,69,12,124,2,False,151679,3464,0,0,155143,0.0165535,55,69,0,69,0,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-escalate-cohort-lymphoma,C1,1,False,False,none,,89,12,131,1,False,183934,3243,0,0,187177,0.019690600000000003,42,89,0,89,0,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-happy-enroll-lymphoma,C1,0,False,False,none,,46,11,111,4,False,159888,2981,0,0,162869,0.0171812,62,46,1,46,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-happy-enroll-lymphoma,C1,1,False,False,none,,16,11,77,3,False,114068,2408,0,0,116476,0.012370000000000003,58,16,1,16,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-happy-enroll-solid,C1,0,False,False,none,,21,8,61,1,False,79488,2026,0,0,81514,0.0087592,38,21,1,21,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-happy-enroll-solid,C1,1,False,False,none,,13,8,60,2,False,70440,1657,0,0,72097,0.0077068,44,13,1,13,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-misleading-evidence-serology,C1,0,False,False,none,,16,8,57,1,False,67582,1769,0,0,69351,0.007465800000000001,39,16,1,16,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-misleading-evidence-serology,C1,1,False,False,none,,30,8,79,2,False,107310,2220,0,0,109530,0.011619,47,30,1,30,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-out-of-order-shared-head,C1,0,False,False,none,,17,8,76,2,False,105620,2135,0,0,107755,0.011416,57,17,1,17,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-out-of-order-shared-head,C1,1,False,False,none,,38,8,80,2,False,104119,2000,0,0,106119,0.011211900000000002,40,38,1,38,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-premature-commit,C1,0,False,False,none,,36,9,98,2,False,130937,2637,0,0,133574,0.0141485,60,36,1,36,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-premature-commit,C1,1,False,False,none,,23,9,58,1,False,62548,2064,0,0,64612,0.007080400000000001,33,23,1,23,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-prompt-injection,C1,0,False,False,none,,37,9,98,2,False,127897,2960,0,0,130857,0.0139737,59,37,1,37,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-prompt-injection,C1,1,False,False,none,,28,9,105,2,False,156962,2950,0,0,159912,0.0168762,75,28,1,28,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-refer-waiver-marrow,C1,0,False,False,none,,93,14,116,5,False,129400,3233,0,0,132633,0.014233200000000001,19,93,0,93,0,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-refer-waiver-marrow,C1,1,False,False,none,,91,14,120,1,False,129065,2950,0,0,132015,0.0140865,29,91,0,91,0,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-rescreen-washout,C1,0,False,False,none,,70,13,102,1,False,83439,2724,0,0,86163,0.0094335,32,70,0,70,0,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-rescreen-washout,C1,1,False,False,none,,73,13,110,1,False,101597,3356,0,0,104953,0.011502100000000001,37,73,0,73,0,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-screenfail-disease-leukemia,C1,0,False,False,committed,,22,8,78,10,False,95878,2123,0,0,98001,0.010437000000000002,45,22,0,22,0,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-screenfail-disease-leukemia,C1,1,False,False,none,,21,8,69,1,False,70236,2291,0,0,72527,0.00794,46,21,1,21,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-screenfail-disease-lymphoma,C1,0,False,False,none,,16,8,66,1,False,98004,2184,0,0,100188,0.010674,48,16,1,16,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-screenfail-disease-lymphoma,C1,1,False,False,none,,50,8,85,2,False,117597,2247,0,0,119844,0.0126585,33,50,1,50,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-screenfail-disease-solid,C1,0,False,False,none,,17,8,48,0,False,51627,1652,0,0,53279,0.0058235000000000006,29,17,1,17,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-screenfail-disease-solid,C1,1,False,False,none,,23,8,56,8,False,71533,1493,0,0,73026,0.0077505,24,23,1,23,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-screenfail-no-measurable,C1,0,False,False,none,,34,8,73,2,False,97471,1814,0,0,99285,0.010472700000000001,37,34,1,34,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-screenfail-no-measurable,C1,1,False,False,none,,19,8,67,1,False,94505,1877,0,0,96382,0.0102013,46,19,1,19,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-screenfail-safety-qtc,C1,0,False,False,none,,33,8,86,2,False,122569,2204,0,0,124773,0.013138500000000003,51,33,1,33,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-screenfail-safety-qtc,C1,1,False,False,none,,23,8,79,2,False,106254,2368,0,0,108622,0.011572600000000002,54,23,1,23,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-verified-confirm-enroll,C1,0,False,False,none,,34,8,75,2,False,100394,1772,0,0,102166,0.010748200000000001,39,34,1,34,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,clinical_trial_eligibility,t6-verified-confirm-enroll,C1,1,False,False,none,,18,8,64,0,False,74352,2047,0,0,76399,0.008254,44,18,1,18,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,form_booking,w1-correction-branch-switch,C1,0,False,False,none,,1,4,11,0,False,6217,397,0,0,6614,0.0007805,5,1,1,1,1,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,form_booking,w1-correction-branch-switch,C1,1,False,False,none,,1,4,17,0,False,10065,473,0,0,10538,0.0011957,4,1,1,1,1,0,1,5,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-correction-branch-switch,C1,2,False,False,none,,1,4,11,0,False,5534,434,0,0,5968,0.000727,5,1,1,1,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-digression-return,C1,0,False,False,none,,0,4,9,0,False,4855,360,0,0,5215,0.0006295,4,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-digression-return,C1,1,False,False,none,,0,4,9,0,False,4858,389,0,0,5247,0.0006414000000000001,4,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-digression-return,C1,2,False,False,none,,0,4,9,0,False,4279,379,0,0,4658,0.0005795,4,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-duplicate-commit-deepclean,C1,0,False,False,none,,1,3,16,0,False,6600,518,0,0,7118,0.0008672,9,1,1,1,1,0,1,1,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-duplicate-commit-deepclean,C1,1,False,False,none,,1,3,13,0,False,5400,483,0,0,5883,0.0007332,6,1,1,1,1,0,1,1,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-duplicate-commit-deepclean,C1,2,False,False,none,,1,3,10,0,False,4368,449,0,0,4817,0.0006164000000000001,3,1,1,1,1,0,1,1,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-happy-deepclean,C1,0,False,False,none,,0,3,11,0,False,5104,352,0,0,5456,0.0006512,8,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-happy-deepclean,C1,1,False,False,none,,0,3,11,0,False,5088,372,0,0,5460,0.0006576,6,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-happy-deepclean,C1,2,False,False,none,,0,3,11,0,False,5100,363,0,0,5463,0.0006552000000000001,6,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-happy-moveout,C1,0,False,False,none,,2,3,14,0,False,7618,467,0,0,8085,0.0009486000000000002,5,2,1,2,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-happy-moveout,C1,1,False,False,none,,2,3,12,0,False,5978,438,0,0,6416,0.0007730000000000001,5,2,1,2,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-happy-moveout,C1,2,False,False,none,,2,3,14,0,False,7558,472,0,0,8030,0.0009446000000000001,7,2,1,2,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-happy-windows,C1,0,False,False,none,,0,3,9,0,False,4329,341,0,0,4670,0.0005693,4,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-happy-windows,C1,1,False,False,none,,2,3,12,0,False,7305,439,0,0,7744,0.0009061000000000001,5,2,1,2,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-happy-windows,C1,2,False,False,none,,2,3,12,0,False,6023,379,0,0,6402,0.0007539000000000001,5,2,1,2,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-invalid-then-repair-moveout,C1,0,False,False,none,,1,5,15,0,False,9480,610,0,0,10090,0.001192,9,1,1,1,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-invalid-then-repair-moveout,C1,1,False,False,none,,2,5,15,0,False,9977,581,0,0,10558,0.0012301,7,2,1,2,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-invalid-then-repair-moveout,C1,2,False,False,none,,1,5,17,0,False,10444,662,0,0,11106,0.0013092,11,1,1,1,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-invalid-then-repair-windows,C1,0,False,False,none,,3,4,14,0,False,7677,492,0,0,8169,0.0009645,6,3,1,3,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-invalid-then-repair-windows,C1,1,False,False,none,,1,4,21,0,False,8908,653,0,0,9561,0.001152,15,1,1,1,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,form_booking,w1-invalid-then-repair-windows,C1,2,False,False,committed,window cleaning,1,4,32,0,False,33419,1032,0,0,34451,0.0037547,24,1,0,1,0,0,1,0,0,0,1,0,0
